Year,2001,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Federal,220,241,220,224,220,198,230,262,283,252,246,250
State,242,261,259,246,260,265,274,274,296,303,323,344
Alabama,352,296,294,241,388,321,399,390,444,497,531,588
Alaska,175,280,128,242,193,174,157,190,286,228,206,260
Arizona,231,195,210,212,215,217,232,235,249,298,317,312
Arkansas,366,312,375,380,355,306,392,374,342,448,510,488
California,183,217,234,254,263,277,272,236,276,258,295,352
Colorado,243,164,216,211,169,236,198,171,256,293,209,275
Connecticut,171,161,153,113,106,140,115,143,144,113,103,212
Delaware,234,216,182,361,229,149,206,267,264,221,163,287
Florida,251,291,274,269,294,325,302,343,356,363,443,460
Georgia,202,243,233,212,229,187,227,230,252,249,323,306
Hawaii,137,257,227,227,110,227,271,148,74,174,78,120
Idaho,323,256,181,180,174,117,139,307,249,222,196,273
Illinois,194,156,166,194,200,172,160,182,260,206,253,208
Indiana,234,265,340,253,270,210,232,215,320,278,264,252
Iowa,113,241,157,137,132,229,184,170,214,320,177,201
Kansas,245,281,231,243,268,179,291,220,262,363,268,332
Kentucky,336,446,380,290,429,423,329,363,502,354,583,381
Louisiana,361,561,543,526,573,624,628,631,613,817,759,766
Maine,358,98,193,154,253,101,145,318,228,212,170,336
Maryland,295,298,254,175,178,211,267,202,296,242,286,297
Massachusetts,284,260,260,349,288,377,367,431,358,376,418,497
Michigan,233,203,325,211,277,284,284,279,277,258,267,348
Minnesota,203,188,126,170,204,149,213,146,115,189,63,64
Mississippi,238,302,302,316,305,260,436,383,322,474,568,572
Missouri,199,289,265,288,239,228,292,304,328,305,289,349
Montana,215,309,97,64,192,355,224,609,409,500,409,130
Nebraska,179,134,245,260,365,233,319,249,331,174,308,187
Nevada,274,272,278,336,280,294,274,347,355,301,349,217
New Hampshire,83,175,309,153,413,195,305,184,301,346,197,312
New Jersey,265,266,241,229,279,208,207,234,256,252,203,173
New Mexico,194,459,319,240,239,211,251,345,267,229,250,332
New York,259,221,243,220,212,213,266,235,223,290,289,295
North Carolina,205,293,214,215,179,211,218,252,244,353,284,336
North Dakota,276,0,0,71,72,212,63,0,0,244,126,0
Ohio,256,198,236,224,218,248,240,215,264,255,289,299
Oklahoma,235,372,328,248,358,324,343,404,392,353,315,415
Oregon,219,229,248,281,291,184,205,214,252,322,171,231
Pennsylvania,324,298,327,293,316,313,314,295,340,354,383,358
Rhode Island,89,160,205,222,330,197,126,223,168,69,298,194
South Carolina,318,350,207,304,246,265,306,315,372,388,541,539
South Dakota,143,179,118,236,309,250,166,200,198,133,308,156
Tennessee,292,382,346,369,298,424,395,399,475,474,436,619
Texas,275,295,269,234,261,298,282,265,274,266,311,337
Utah,121,214,324,239,227,283,427,433,331,466,403,327
Vermont,214,142,135,241,0,98,385,303,229,403,300,117
Virginia,226,264,281,291,324,289,273,300,296,301,312,358
Washington,190,204,255,206,123,195,220,221,244,163,226,207
West Virginia,500,388,356,394,447,450,456,409,473,441,490,583
Wisconsin,231,197,189,113,214,205,192,257,201,285,183,221
Wyoming,336,528,402,96,139,183,175,507,292,468,331,245
