Year,2001,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Federal,301,399,376,387,387,350,400,444,455,388,381,378
State,2869,3452,3417,3233,3351,3357,3478,3484,3682,3729,3943,4135
Alabama,87,75,80,66,104,86,107,102,112,118,116,125
Alaska,8,14,7,13,12,11,8,12,15,10,9,11
Arizona,64,77,85,85,86,87,95,99,105,126,133,131
Arkansas,42,41,50,54,50,43,56,57,54,71,81,76
California,287,371,395,414,388,368,365,317,353,334,384,449
Colorado,42,38,49,48,37,48,40,35,51,57,41,55
Connecticut,30,32,29,21,19,24,20,24,23,17,14,28
Delaware,16,15,12,23,15,10,14,18,17,14,10,16
Florida,182,291,278,275,297,324,305,346,354,356,428,440
Georgia,93,128,125,112,121,103,122,121,131,133,173,163
Hawaii,7,14,11,12,6,12,14,8,4,9,4,6
Idaho,17,18,13,13,13,9,10,23,18,16,15,22
Illinois,86,71,75,94,97,85,78,88,120,90,104,83
Indiana,46,70,91,69,74,59,66,70,85,70,68,67
Iowa,9,21,14,13,12,20,16,15,19,29,16,19
Kansas,21,24,20,22,25,17,28,21,25,35,26,33
Kentucky,36,68,57,42,60,55,40,44,60,42,70,50
Louisiana,71,117,108,100,108,116,118,118,113,123,115,114
Maine,6,2,4,3,5,2,3,7,5,5,4,8
Maryland,70,69,56,40,41,46,58,43,62,49,57,57
Massachusetts,29,29,29,39,33,42,39,45,34,34,37,42
Michigan,114,99,148,93,119,124,124,121,118,106,106,135
Minnesota,13,17,12,16,19,14,20,14,11,18,6,6
Mississippi,36,54,52,52,47,41,68,50,45,65,77,76
Missouri,57,87,81,88,74,71,92,97,106,99,94,106
Montana,6,9,3,2,6,11,7,19,13,16,13,5
Nebraska,7,6,11,12,17,11,16,13,17,9,16,10
Nevada,27,35,35,41,34,37,35,44,47,42,47,29
New Hampshire,2,5,9,4,10,5,8,5,8,9,5,8
New Jersey,69,66,58,56,66,48,46,50,52,49,39,33
New Mexico,11,29,21,16,16,14,17,24,19,16,18,22
New York,175,133,142,124,117,115,142,123,115,147,143,138
North Carolina,66,117,86,87,71,79,81,94,90,127,104,118
North Dakota,3,0,0,1,1,3,1,0,0,4,2,0
Ohio,115,101,120,116,111,126,124,111,138,133,149,151
Oklahoma,51,88,79,60,85,79,87,107,107,93,86,113
Oregon,24,31,34,39,40,26,30,31,37,47,25,34
Pennsylvania,122,145,165,141,157,157,157,145,166,171,181,166
Rhode Island,3,6,7,7,10,6,4,7,5,2,8,5
South Carolina,69,83,49,70,55,58,66,66,76,79,105,100
South Dakota,4,6,4,8,11,9,6,7,7,5,12,6
Tennessee,51,74,69,74,59,84,82,83,94,102,96,121
Texas,408,469,426,375,417,462,438,409,418,403,469,505
Utah,5,11,17,13,12,15,23,23,16,21,20,17
Vermont,3,3,3,5,0,2,8,6,4,7,4,2
Virginia,71,86,87,93,99,86,82,90,90,90,93,106
Washington,29,35,44,35,21,33,39,38,42,28,40,36
West Virginia,17,19,18,20,23,24,26,24,28,26,29,34
Wisconsin,48,44,42,25,48,46,43,58,46,66,43,52
Wyoming,5,9,7,2,3,4,4,12,7,11,8,6
