Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,63,67,71,75,77,81,82,86,88,91,93
Male,65,70,73,77,79,84,85,88,91,94,96
Female,33,35,40,48,44,45,43,51,53,49,49
White,103,114,119,130,134,145,144,149,154,162,166
Black,58,62,66,68,71,75,79,84,89,89,91
Hispanic,24,23,28,30,31,32,34,36,38,40,41
Other,15,13,15,11,12,11,11,11,11,10,9
17 or younger,14,13,14,16,19,23,0,0,37,79,89
18 to 24,1,2,3,4,4,3,2,2,2,2,2
25 to 34,4,4,4,5,5,6,5,6,6,6,5
35 to 44,22,20,22,21,21,22,22,21,19,17,16
45 to 54,113,115,117,118,113,116,114,113,104,99,95
55 or older,577,592,584,584,573,572,553,550,558,558,554
