Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,17,16,17,16,16,16,17,18,19,19,21
Male,17,17,17,16,17,17,18,18,19,20,21
Female,16,14,12,10,7,10,9,10,11,12,16
White,28,28,28,29,31,32,32,34,35,37,40
Black,14,14,14,12,13,12,14,15,16,16,18
Hispanic,8,8,9,7,7,7,8,7,8,9,10
Other,1,1,1,1,2,3,3,3,3,2,2
17 or younger,14,0,0,0,0,0,0,0,0,0,0
18 to 24,3,2,2,1,2,2,2,2,1,1,0
25 to 34,3,3,3,2,3,3,3,2,2,1,2
35 to 44,8,8,7,6,5,4,4,4,4,5,6
45 to 54,23,21,20,20,19,17,16,15,16,14,15
55 or older,143,139,136,121,127,119,123,124,124,127,129
