Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,225,228,226,226,227,236,238,247,253,262,267
Male,231,235,232,233,235,243,246,255,261,272,276
Female,136,144,137,132,122,132,133,143,142,138,145
White,337,353,356,372,381,403,404,425,439,460,466
Black,213,218,216,215,213,217,225,236,248,259,266
Hispanic,122,119,115,107,110,116,120,120,115,119,126
Other,49,46,42,35,36,36,39,39,38,35,32
17 or younger,27,13,41,47,56,23,29,33,73,79,89
18–24,14,15,15,14,14,15,15,16,14,13,10
25–34,29,26,25,25,24,24,23,24,24,27,27
35–44,110,106,98,94,85,81,75,71,70,69,68
45–54,416,397,382,364,346,338,324,315,298,281,271
55 or older,1777,1765,1658,1598,1558,1567,1538,1544,1530,1540,1517
