,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,24,25,24,25,24,26,26,26,24,22,20
Male,25,26,25,26,25,27,27,27,24,23,21
Female,10,10,10,9,9,13,14,16,13,11,11
White,37,40,42,44,44,47,46,46,45,41,38
Black,14,15,14,16,14,16,15,15,14,14,12
Hispanic,25,24,21,19,20,23,25,25,20,16,15
Other,8,8,5,5,5,6,5,5,5,5,4
17 or younger,0,0,14,16,19,0,0,0,0,0,0
18 to 24,1,1,1,1,0,0,1,1,1,1,1
25 to 34,1,1,1,1,1,1,1,1,1,1,1
35 to 44,11,11,9,10,7,7,5,5,5,5,5
45 to 54,69,67,63,59,54,54,50,47,41,33,26
55 or older,136,137,130,138,140,157,152,147,127,119,107
