Year,2001,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All causes,242,261,259,246,260,265,274,274,296,303,323,344
Illness,217,229,229,218,231,234,243,239,259,260,267,273
Heart disease,63,64,64,63,66,63,71,71,79,84,90,88
Cancer,58,68,74,71,80,81,84,83,90,92,91,95
Liver disease,26,24,26,22,26,24,28,25,24,21,20,18
AIDS-related,23,7,7,6,4,6,4,5,4,3,3,2
Respiratory disease,12,19,15,16,16,17,15,18,19,18,21,24
All other illnesses,34,47,43,41,38,42,40,37,43,43,42,47
Suicide,14,15,15,16,14,16,15,20,18,21,21,26
Drug/alcohol intoxication,3,4,4,3,4,3,4,4,7,8,17,21
Accident,2,2,2,2,3,4,3,3,3,3,4,4
Homicide,3,3,4,5,5,7,7,7,7,8,9,10
Other causes,0,7,1,1,1,1,1,1,2,2,2,3
Missing/unknown,3,0,3,0,1,1,1,2,1,1,3,9
