Year,Total,Male,Female,White,Black,Hispanic,Other,17 or younger,18-24,25-34,35-44,45-54,55 or older
2008,26,27,15,43,15,21,13,41,18,23,27,30,40
2009,25,26,15,44,15,19,10,40,19,22,26,30,36
2010,26,26,16,44,16,20,11,41,19,23,27,30,38
2011,27,27,18,47,16,20,11,31,18,23,29,32,39
2012,28,29,18,49,18,21,11,38,19,23,30,33,46
2013,29,29,17,50,18,23,10,23,19,24,31,32,46
2014,31,31,20,53,20,25,10,29,22,26,30,35,51
2015,32,33,22,57,22,25,11,33,24,29,33,36,46
2016,36,37,23,63,26,26,12,37,30,30,38,39,48
2017,42,43,19,70,34,30,12,0,36,35,45,43,55
2018,50,53,22,82,44,38,13,0,41,44,51,56,65
